"subject","spreadsheet_row","trial","Targ_loc","target","responseGiven","trialType","HasDyslexia","location","context","ReaderType","accuracy","error","locationSumCoded","contextSumCoded","readerTypeFactor","cLocationSumCoded","cContextSumCoded","cReaderTypeSumCoded"
"3295029",269,1,3,"tev","bix","LI_CC","Yes","inconsistent","consistent","Dyslexic",0,1,"inconsistent","consistent","Dyslexic",0.527891714520099,-0.5,0.503691550451189
"3295029",276,2,2,"bav","bid","LC_CI","Yes","consistent","inconsistent","Dyslexic",0,1,"consistent","inconsistent","Dyslexic",-0.472108285479901,0.5,0.503691550451189
"3295029",283,3,1,"gex","gof","LC_CI","Yes","consistent","inconsistent","Dyslexic",0,1,"consistent","inconsistent","Dyslexic",-0.472108285479901,0.5,0.503691550451189
"3295029",293,4,3,"dep","teb","LC_CI","Yes","consistent","inconsistent","Dyslexic",0,1,"consistent","inconsistent","Dyslexic",-0.472108285479901,0.5,0.503691550451189
"3295029",300,5,1,"pag","pag","LI_CI","Yes","inconsistent","inconsistent","Dyslexic",1,0,"inconsistent","inconsistent","Dyslexic",0.527891714520099,0.5,0.503691550451189
"3295029",307,6,2,"suv","suv","LI_CC","Yes","inconsistent","consistent","Dyslexic",1,0,"inconsistent","consistent","Dyslexic",0.527891714520099,-0.5,0.503691550451189
"3295029",171,7,2,"dop","dop","LC_CC","Yes","consistent","consistent","Dyslexic",1,0,"consistent","consistent","Dyslexic",-0.472108285479901,-0.5,0.503691550451189
"3295029",178,8,1,"fim","fim","LI_CC","Yes","inconsistent","consistent","Dyslexic",1,0,"inconsistent","consistent","Dyslexic",0.527891714520099,-0.5,0.503691550451189
"3295029",185,9,1,"beb","beb","LC_CI","Yes","consistent","inconsistent","Dyslexic",1,0,"consistent","inconsistent","Dyslexic",-0.472108285479901,0.5,0.503691550451189
"3295029",195,10,3,"gop","gop","LC_CC","Yes","consistent","consistent","Dyslexic",1,0,"consistent","consistent","Dyslexic",-0.472108285479901,-0.5,0.503691550451189
"3295029",202,11,1,"sut","sut","LI_CC","Yes","inconsistent","consistent","Dyslexic",1,0,"inconsistent","consistent","Dyslexic",0.527891714520099,-0.5,0.503691550451189
"3295029",209,12,3,"dod","dod","LI_CC","Yes","inconsistent","consistent","Dyslexic",1,0,"inconsistent","consistent","Dyslexic",0.527891714520099,-0.5,0.503691550451189
"3295029",72,13,2,"ged","gep","LC_CI","Yes","consistent","inconsistent","Dyslexic",0,1,"consistent","inconsistent","Dyslexic",-0.472108285479901,0.5,0.503691550451189
"3295029",79,14,1,"sem","sum","LI_CI","Yes","inconsistent","inconsistent","Dyslexic",0,1,"inconsistent","inconsistent","Dyslexic",0.527891714520099,0.5,0.503691550451189
"3295029",86,15,1,"dav","paz","LC_CI","Yes","consistent","inconsistent","Dyslexic",0,1,"consistent","inconsistent","Dyslexic",-0.472108285479901,0.5,0.503691550451189
"3295029",96,16,2,"kov","kev","LC_CC","Yes","consistent","consistent","Dyslexic",0,1,"consistent","consistent","Dyslexic",-0.472108285479901,-0.5,0.503691550451189
"3295029",103,17,3,"kig","bev","LC_CI","Yes","consistent","inconsistent","Dyslexic",0,1,"consistent","inconsistent","Dyslexic",-0.472108285479901,0.5,0.503691550451189
"3295029",110,18,2,"tav","tev","LI_CI","Yes","inconsistent","inconsistent","Dyslexic",0,1,"inconsistent","inconsistent","Dyslexic",0.527891714520099,0.5,0.503691550451189
"3295029",121,19,2,"fip","fip","LC_CI","Yes","consistent","inconsistent","Dyslexic",1,0,"consistent","inconsistent","Dyslexic",-0.472108285479901,0.5,0.503691550451189
"3295029",128,20,1,"teb","gep","LC_CC","Yes","consistent","consistent","Dyslexic",0,1,"consistent","consistent","Dyslexic",-0.472108285479901,-0.5,0.503691550451189
"3295029",135,21,3,"bix","bix","LI_CI","Yes","inconsistent","inconsistent","Dyslexic",1,0,"inconsistent","inconsistent","Dyslexic",0.527891714520099,0.5,0.503691550451189
"3295029",145,22,2,"kiv","kid","LC_CC","Yes","consistent","consistent","Dyslexic",0,1,"consistent","consistent","Dyslexic",-0.472108285479901,-0.5,0.503691550451189
"3295029",152,23,1,"dus","dus","LC_CC","Yes","consistent","consistent","Dyslexic",1,0,"consistent","consistent","Dyslexic",-0.472108285479901,-0.5,0.503691550451189
"3295029",159,24,3,"sof","sof","LC_CC","Yes","consistent","consistent","Dyslexic",1,0,"consistent","consistent","Dyslexic",-0.472108285479901,-0.5,0.503691550451189
"3295029",23,25,1,"pid","pid","LC_CC","Yes","consistent","consistent","Dyslexic",1,0,"consistent","consistent","Dyslexic",-0.472108285479901,-0.5,0.503691550451189
"3295029",30,26,1,"paz","paz","LI_CI","Yes","inconsistent","inconsistent","Dyslexic",1,0,"inconsistent","inconsistent","Dyslexic",0.527891714520099,0.5,0.503691550451189
"3295029",37,27,3,"fet","fis","LC_CI","Yes","consistent","inconsistent","Dyslexic",0,1,"consistent","inconsistent","Dyslexic",-0.472108285479901,0.5,0.503691550451189
